department,job_role,salary,overtime,overtime_hours,hours_worked,projects_handled,performance_rating,productivity_score,years_at_company,attrition,hourly_rate,overtime_cost,efficiency_score,high_risk
Human Resources,Human Resources,5021.0,Yes,15.0,55.0,3,4.0,0.8,4,No,31.38125,470.71875,0.05,0
Research & Development,Laboratory Technician,5126.0,Yes,15.0,55.0,5,3.0,0.6,10,No,32.0375,480.5625,0.0375,1
Research & Development,Research Scientist,2859.0,No,5.0,45.0,4,3.0,0.6,6,No,17.86875,89.34375,0.09999999999999999,0
Sales,Sales Executive,10239.0,No,5.0,45.0,7,3.0,0.6,1,No,63.99375,319.96875,0.09999999999999999,0
Research & Development,Research Scientist,5329.0,Yes,15.0,55.0,3,3.0,0.6,13,No,33.30625,499.59375,0.0375,1
Research & Development,Manufacturing Director,4325.0,No,5.0,45.0,5,3.0,0.6,5,No,27.03125,135.15625,0.09999999999999999,0
Research & Development,Manufacturing Director,7260.0,No,5.0,45.0,8,3.0,0.6,6,No,45.375,226.875,0.09999999999999999,0
Sales,Sales Representative,2322.0,No,5.0,45.0,6,3.0,0.6,0,No,14.5125,72.5625,0.09999999999999999,0
Research & Development,Laboratory Technician,2075.0,No,5.0,45.0,7,4.0,0.8,4,No,12.96875,64.84375,0.13333333333333333,0
Research & Development,Healthcare Representative,4152.0,No,5.0,45.0,4,3.0,0.6,11,No,25.95,129.75,0.09999999999999999,0
Sales,Sales Executive,9619.0,No,5.0,45.0,4,3.0,0.6,9,Yes,60.11875,300.59375,0.09999999999999999,0
Research & Development,Healthcare Representative,13503.0,No,5.0,45.0,8,4.0,0.8,22,No,84.39375,421.96875,0.13333333333333333,0
Sales,Sales Executive,5441.0,Yes,15.0,55.0,4,4.0,0.8,10,No,34.00625,510.09375,0.05,0
Sales,Sales Executive,5209.0,Yes,15.0,55.0,5,3.0,0.6,11,No,32.55625,488.34375,0.0375,1
Research & Development,Healthcare Representative,10673.0,Yes,15.0,55.0,8,3.0,0.6,10,No,66.70625,1000.59375,0.0375,1
Sales,Sales Executive,5010.0,No,5.0,45.0,8,3.0,0.6,11,No,31.3125,156.5625,0.09999999999999999,0
Research & Development,Research Director,13549.0,No,5.0,45.0,5,3.0,0.6,4,No,84.68125,423.40625,0.09999999999999999,0
Sales,Sales Executive,4999.0,No,5.0,45.0,5,4.0,0.8,3,No,31.24375,156.21875,0.13333333333333333,0
Sales,Sales Executive,4221.0,No,5.0,45.0,7,3.0,0.6,5,No,26.38125,131.90625,0.09999999999999999,0
Sales,Sales Executive,13872.0,No,5.0,45.0,7,3.0,0.6,37,No,86.7,433.5,0.09999999999999999,0
Research & Development,Laboratory Technician,2042.0,No,5.0,45.0,3,3.0,0.6,3,No,12.7625,63.8125,0.09999999999999999,0
Human Resources,Human Resources,2073.0,Yes,15.0,55.0,6,4.0,0.8,3,Yes,12.95625,194.34375,0.05,0
Research & Development,Research Scientist,2956.0,No,5.0,45.0,5,3.0,0.6,1,No,18.475,92.375,0.09999999999999999,0
Research & Development,Laboratory Technician,2926.0,Yes,15.0,55.0,4,3.0,0.6,1,Yes,18.2875,274.3125,0.0375,1
Research & Development,Research Scientist,4809.0,No,5.0,45.0,7,3.0,0.6,16,No,30.05625,150.28125,0.09999999999999999,0
Research & Development,Healthcare Representative,5163.0,No,5.0,45.0,7,3.0,0.6,1,No,32.26875,161.34375,0.09999999999999999,0
Human Resources,Manager,18844.0,No,5.0,45.0,8,4.0,0.8,3,No,117.775,588.875,0.13333333333333333,0
Research & Development,Research Director,18172.0,Yes,15.0,55.0,7,3.0,0.6,8,No,113.575,1703.625,0.0375,1
Sales,Sales Executive,5744.0,Yes,15.0,55.0,5,3.0,0.6,6,Yes,35.9,538.5,0.0375,1
Research & Development,Research Scientist,2889.0,No,5.0,45.0,6,3.0,0.6,2,No,18.05625,90.28125,0.09999999999999999,0
Research & Development,Laboratory Technician,2871.0,No,5.0,45.0,5,3.0,0.6,0,No,17.94375,89.71875,0.09999999999999999,0
Research & Development,Healthcare Representative,7484.0,No,5.0,45.0,8,4.0,0.8,13,No,46.775,233.875,0.13333333333333333,0
Research & Development,Laboratory Technician,6074.0,Yes,15.0,55.0,8,4.0,0.8,9,Yes,37.9625,569.4375,0.05,0
Human Resources,Manager,17328.0,Yes,15.0,55.0,4,3.0,0.6,5,No,108.3,1624.5,0.0375,1
Research & Development,Laboratory Technician,2774.0,No,5.0,45.0,7,3.0,0.6,5,No,17.3375,86.6875,0.09999999999999999,0
Research & Development,Research Scientist,4505.0,No,5.0,45.0,5,3.0,0.6,1,No,28.15625,140.78125,0.09999999999999999,0
Sales,Sales Executive,7428.0,No,5.0,45.0,5,3.0,0.6,5,No,46.425,232.125,0.09999999999999999,0
Research & Development,Manager,11631.0,No,5.0,45.0,6,3.0,0.6,11,No,72.69375,363.46875,0.09999999999999999,0
Sales,Sales Executive,9738.0,No,5.0,45.0,4,3.0,0.6,9,No,60.8625,304.3125,0.09999999999999999,0
Research & Development,Laboratory Technician,2835.0,No,5.0,45.0,5,4.0,0.8,1,No,17.71875,88.59375,0.13333333333333333,0
Sales,Manager,16959.0,Yes,15.0,55.0,4,3.0,0.6,25,No,105.99375,1589.90625,0.0375,1
Research & Development,Research Scientist,2613.0,No,5.0,45.0,6,4.0,0.8,10,No,16.33125,81.65625,0.13333333333333333,0
Sales,Sales Executive,6146.0,No,5.0,45.0,7,3.0,0.6,7,No,38.4125,192.0625,0.09999999999999999,0
Research & Development,Research Scientist,4963.0,Yes,15.0,55.0,3,3.0,0.6,5,Yes,31.01875,465.28125,0.0375,1
Research & Development,Research Director,19537.0,No,5.0,45.0,7,3.0,0.6,20,No,122.10625,610.53125,0.09999999999999999,0
Sales,Sales Executive,6172.0,Yes,15.0,55.0,4,3.0,0.6,7,Yes,38.575,578.625,0.0375,1
Research & Development,Research Scientist,2368.0,No,5.0,45.0,7,3.0,0.6,5,No,14.8,74.0,0.09999999999999999,0
Research & Development,Healthcare Representative,10312.0,No,5.0,45.0,3,3.0,0.6,40,Yes,64.45,322.25,0.09999999999999999,0
Sales,Sales Representative,1675.0,Yes,15.0,55.0,4,3.0,0.6,0,Yes,10.46875,157.03125,0.0375,1
Research & Development,Laboratory Technician,2523.0,No,5.0,45.0,5,3.0,0.6,2,No,15.76875,78.84375,0.09999999999999999,0
Research & Development,Manufacturing Director,6567.0,No,5.0,45.0,3,3.0,0.6,15,No,41.04375,205.21875,0.09999999999999999,0
Research & Development,Research Scientist,4739.0,No,5.0,45.0,8,3.0,0.6,3,No,29.61875,148.09375,0.09999999999999999,0
Sales,Sales Executive,9208.0,No,5.0,45.0,8,3.0,0.6,2,No,57.55,287.75,0.09999999999999999,0
Sales,Sales Executive,4559.0,Yes,15.0,55.0,3,3.0,0.6,2,Yes,28.49375,427.40625,0.0375,1
Sales,Sales Executive,8189.0,Yes,15.0,55.0,3,3.0,0.6,9,No,51.18125,767.71875,0.0375,1
Human Resources,Human Resources,2942.0,No,5.0,45.0,5,4.0,0.8,8,No,18.3875,91.9375,0.13333333333333333,0
Research & Development,Manufacturing Director,4941.0,No,5.0,45.0,3,4.0,0.8,3,No,30.88125,154.40625,0.13333333333333333,0
Research & Development,Manufacturing Director,10650.0,No,5.0,45.0,5,3.0,0.6,4,Yes,66.5625,332.8125,0.09999999999999999,0
Sales,Sales Executive,5902.0,No,5.0,45.0,5,3.0,0.6,15,No,36.8875,184.4375,0.09999999999999999,0
Sales,Sales Executive,8639.0,No,5.0,45.0,3,3.0,0.6,2,No,53.99375,269.96875,0.09999999999999999,0
Human Resources,Human Resources,6347.0,Yes,15.0,55.0,8,3.0,0.6,11,No,39.66875,595.03125,0.0375,1
Research & Development,Laboratory Technician,4200.0,No,5.0,45.0,8,4.0,0.8,5,Yes,26.25,131.25,0.13333333333333333,0
Research & Development,Research Scientist,3452.0,No,5.0,45.0,7,3.0,0.6,6,No,21.575,107.875,0.09999999999999999,0
Research & Development,Research Scientist,4317.0,Yes,15.0,55.0,5,4.0,0.8,3,No,26.98125,404.71875,0.05,0
Research & Development,Research Scientist,2632.0,No,5.0,45.0,7,3.0,0.6,5,No,16.45,82.25,0.09999999999999999,0
Sales,Sales Executive,4668.0,No,5.0,45.0,6,3.0,0.6,8,No,29.175,145.875,0.09999999999999999,0
Research & Development,Research Scientist,3204.0,No,5.0,45.0,5,3.0,0.6,3,No,20.025,100.125,0.09999999999999999,0
Research & Development,Laboratory Technician,2720.0,No,5.0,45.0,4,3.0,0.6,5,No,17.0,85.0,0.09999999999999999,0
Research & Development,Manager,17181.0,No,5.0,45.0,5,3.0,0.6,7,No,107.38125,536.90625,0.09999999999999999,0
Research & Development,Laboratory Technician,2238.0,No,5.0,45.0,5,4.0,0.8,5,No,13.9875,69.9375,0.13333333333333333,0
Research & Development,Laboratory Technician,1483.0,No,5.0,45.0,3,3.0,0.6,1,No,9.26875,46.34375,0.09999999999999999,0
Research & Development,Research Scientist,5605.0,No,5.0,45.0,7,3.0,0.6,20,No,35.03125,175.15625,0.09999999999999999,0
Sales,Sales Executive,7295.0,No,5.0,45.0,4,3.0,0.6,10,No,45.59375,227.96875,0.09999999999999999,0
Sales,Sales Representative,2306.0,Yes,15.0,55.0,3,4.0,0.8,7,No,14.4125,216.1875,0.05,0
Research & Development,Laboratory Technician,2348.0,No,5.0,45.0,6,3.0,0.6,17,No,14.675,73.375,0.09999999999999999,0
Sales,Sales Executive,8998.0,No,5.0,45.0,3,3.0,0.6,9,No,56.2375,281.1875,0.09999999999999999,0
Research & Development,Manufacturing Director,4319.0,No,5.0,45.0,5,3.0,0.6,10,No,26.99375,134.96875,0.09999999999999999,0
Research & Development,Manufacturing Director,6132.0,No,5.0,45.0,5,3.0,0.6,1,No,38.325,191.625,0.09999999999999999,0
Research & Development,Research Scientist,3346.0,Yes,15.0,55.0,3,4.0,0.8,1,No,20.9125,313.6875,0.05,0
Sales,Sales Executive,10855.0,No,5.0,45.0,8,3.0,0.6,12,No,67.84375,339.21875,0.09999999999999999,0
Sales,Sales Representative,2231.0,No,5.0,45.0,8,3.0,0.6,4,No,13.94375,69.71875,0.09999999999999999,0
Research & Development,Research Scientist,2323.0,No,5.0,45.0,5,4.0,0.8,2,No,14.51875,72.59375,0.13333333333333333,0
Research & Development,Research Scientist,2024.0,No,5.0,45.0,4,3.0,0.6,2,No,12.65,63.25,0.09999999999999999,0
Research & Development,Research Scientist,2713.0,No,5.0,45.0,6,3.0,0.6,5,No,16.95625,84.78125,0.09999999999999999,0
Research & Development,Healthcare Representative,9439.0,Yes,15.0,55.0,7,3.0,0.6,5,No,58.99375,884.90625,0.0375,1
Research & Development,Research Scientist,2566.0,Yes,15.0,55.0,3,3.0,0.6,1,No,16.0375,240.56250000000003,0.0375,1
Research & Development,Manager,19926.0,No,5.0,45.0,5,3.0,0.6,5,No,124.5375,622.6875,0.09999999999999999,0
Research & Development,Research Scientist,2451.0,No,5.0,45.0,6,3.0,0.6,9,No,15.31875,76.59375,0.09999999999999999,0
Sales,Sales Executive,9419.0,No,5.0,45.0,6,3.0,0.6,10,No,58.86875,294.34375,0.09999999999999999,0
Sales,Sales Executive,8686.0,No,5.0,45.0,5,4.0,0.8,8,No,54.2875,271.4375,0.13333333333333333,0
Research & Development,Research Scientist,3038.0,No,5.0,45.0,3,4.0,0.8,5,No,18.9875,94.9375,0.13333333333333333,0
Research & Development,Research Scientist,3058.0,Yes,15.0,55.0,4,3.0,0.6,5,No,19.1125,286.6875,0.0375,1
Sales,Sales Representative,2325.0,No,5.0,45.0,3,4.0,0.8,0,Yes,14.53125,72.65625,0.13333333333333333,0
Research & Development,Laboratory Technician,2088.0,No,5.0,45.0,6,3.0,0.6,8,No,13.05,65.25,0.09999999999999999,0
Research & Development,Laboratory Technician,3072.0,No,5.0,45.0,4,3.0,0.6,12,No,19.2,96.0,0.09999999999999999,0
Sales,Sales Executive,5006.0,Yes,15.0,55.0,4,3.0,0.6,5,No,31.2875,469.3125,0.0375,1
Research & Development,Research Scientist,4257.0,Yes,15.0,55.0,7,3.0,0.6,2,No,26.60625,399.09375,0.0375,1
Research & Development,Research Scientist,2500.0,No,5.0,45.0,7,3.0,0.6,3,No,15.625,78.125,0.09999999999999999,0
Research & Development,Laboratory Technician,1102.0,No,5.0,45.0,7,4.0,0.8,1,Yes,6.8875,34.4375,0.13333333333333333,0
Sales,Sales Executive,10453.0,No,5.0,45.0,8,4.0,0.8,24,No,65.33125,326.65625,0.13333333333333333,0
Research & Development,Laboratory Technician,2288.0,No,5.0,45.0,4,3.0,0.6,2,No,14.3,71.5,0.09999999999999999,0
Research & Development,Research Scientist,3929.0,Yes,15.0,55.0,5,4.0,0.8,4,No,24.55625,368.34375,0.05,0
Research & Development,Research Scientist,2311.0,No,5.0,45.0,6,3.0,0.6,3,No,14.44375,72.21875,0.09999999999999999,0
Sales,Sales Representative,3140.0,Yes,15.0,55.0,7,4.0,0.8,4,Yes,19.625,294.375,0.05,0
Research & Development,Laboratory Technician,3690.0,No,5.0,45.0,6,3.0,0.6,3,No,23.0625,115.3125,0.09999999999999999,0
Research & Development,Manufacturing Director,4450.0,No,5.0,45.0,7,3.0,0.6,4,No,27.8125,139.0625,0.09999999999999999,0
Research & Development,Research Scientist,2756.0,No,5.0,45.0,4,3.0,0.6,8,No,17.225,86.125,0.09999999999999999,0
Research & Development,Manager,19033.0,No,5.0,45.0,5,3.0,0.6,20,No,118.95625,594.78125,0.09999999999999999,0
Research & Development,Research Director,18722.0,No,5.0,45.0,8,3.0,0.6,24,No,117.0125,585.0625,0.09999999999999999,0
Research & Development,Manufacturing Director,9547.0,No,5.0,45.0,6,3.0,0.6,10,No,59.66875,298.34375,0.09999999999999999,0
Research & Development,Healthcare Representative,13734.0,No,5.0,45.0,5,3.0,0.6,7,No,85.8375,429.1875,0.09999999999999999,0
Research & Development,Manager,19999.0,No,5.0,45.0,7,3.0,0.6,33,No,124.99375,624.96875,0.09999999999999999,0
Research & Development,Research Scientist,2279.0,No,5.0,45.0,7,3.0,0.6,7,No,14.24375,71.21875,0.09999999999999999,0
Research & Development,Manufacturing Director,5916.0,Yes,15.0,55.0,3,3.0,0.6,1,Yes,36.975,554.625,0.0375,1
Research & Development,Research Scientist,2089.0,No,5.0,45.0,3,3.0,0.6,5,No,13.05625,65.28125,0.09999999999999999,0
Research & Development,Manager,16792.0,No,5.0,45.0,5,4.0,0.8,20,No,104.95,524.75,0.13333333333333333,0
Research & Development,Research Scientist,3564.0,Yes,15.0,55.0,6,3.0,0.6,8,No,22.275,334.125,0.0375,1
Research & Development,Laboratory Technician,4425.0,No,5.0,45.0,4,3.0,0.6,6,No,27.65625,138.28125,0.09999999999999999,0
Research & Development,Manufacturing Director,5265.0,No,5.0,45.0,5,3.0,0.6,5,No,32.90625,164.53125,0.09999999999999999,0
Research & Development,Manufacturing Director,6553.0,No,5.0,45.0,7,3.0,0.6,1,No,40.95625,204.78125,0.09999999999999999,0
Research & Development,Manufacturing Director,6261.0,No,5.0,45.0,6,3.0,0.6,7,No,39.13125,195.65625,0.09999999999999999,0
Research & Development,Manufacturing Director,4298.0,No,5.0,45.0,7,3.0,0.6,2,No,26.8625,134.3125,0.09999999999999999,0
Research & Development,Manufacturing Director,6804.0,Yes,15.0,55.0,3,3.0,0.6,7,No,42.525,637.875,0.0375,1
Research & Development,Research Scientist,3815.0,Yes,15.0,55.0,4,3.0,0.6,5,No,23.84375,357.65625,0.0375,1
Research & Development,Laboratory Technician,2741.0,Yes,15.0,55.0,3,3.0,0.6,7,No,17.13125,256.96875,0.0375,1
Research & Development,Healthcare Representative,6673.0,Yes,15.0,55.0,6,3.0,0.6,1,Yes,41.70625,625.59375,0.0375,1
Sales,Sales Executive,7639.0,No,5.0,45.0,6,4.0,0.8,10,Yes,47.74375,238.71875,0.13333333333333333,0
Research & Development,Research Scientist,2328.0,Yes,15.0,55.0,7,3.0,0.6,4,No,14.55,218.25,0.0375,1
Research & Development,Laboratory Technician,2153.0,No,5.0,45.0,3,3.0,0.6,8,No,13.45625,67.28125,0.09999999999999999,0
Research & Development,Healthcare Representative,4876.0,No,5.0,45.0,5,3.0,0.6,3,No,30.475,152.375,0.09999999999999999,0
Research & Development,Healthcare Representative,9396.0,No,5.0,45.0,5,3.0,0.6,4,No,58.725,293.625,0.09999999999999999,0
Sales,Sales Executive,10400.0,No,5.0,45.0,5,3.0,0.6,14,Yes,65.0,325.0,0.09999999999999999,0
Research & Development,Manufacturing Director,8474.0,No,5.0,45.0,4,4.0,0.8,11,No,52.9625,264.8125,0.13333333333333333,0
Sales,Sales Executive,9981.0,No,5.0,45.0,8,3.0,0.6,7,No,62.38125,311.90625,0.09999999999999999,0
Research & Development,Research Director,12490.0,No,5.0,45.0,6,3.0,0.6,10,No,78.0625,390.3125,0.09999999999999999,0
Research & Development,Research Scientist,2657.0,Yes,15.0,55.0,4,3.0,0.6,5,Yes,16.60625,249.09375,0.0375,1
Sales,Manager,13591.0,Yes,15.0,55.0,6,3.0,0.6,1,No,84.94375,1274.15625,0.0375,1
Sales,Sales Executive,6696.0,No,5.0,45.0,8,3.0,0.6,6,Yes,41.85,209.25,0.09999999999999999,0
Research & Development,Research Scientist,2058.0,No,5.0,45.0,7,3.0,0.6,6,Yes,12.8625,64.3125,0.09999999999999999,0
Sales,Sales Executive,8865.0,No,5.0,45.0,7,3.0,0.6,19,No,55.40625,277.03125,0.09999999999999999,0
Sales,Sales Executive,5940.0,No,5.0,45.0,8,3.0,0.6,6,No,37.125,185.625,0.09999999999999999,0
Research & Development,Laboratory Technician,5914.0,No,5.0,45.0,7,3.0,0.6,13,No,36.9625,184.8125,0.09999999999999999,0
Research & Development,Research Scientist,2622.0,No,5.0,45.0,3,4.0,0.8,3,No,16.3875,81.9375,0.13333333333333333,0
